CIK,Company Name,form,accession_number,filing_date,primary_document,document_url,txt_file_url
0001851026,"Masterworks 055, LLC",1-SA,0001493152-23-034168,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001851026/000149315223034168/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001851026/000149315223034168/0001493152-23-034168.txt
0001860446,"Masterworks 056, LLC",1-K,0001493152-24-016313,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001860446/000149315224016313/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001860446/000149315224016313/0001493152-24-016313.txt
0001860446,"Masterworks 056, LLC",1-SA,0001493152-23-034169,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001860446/000149315223034169/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001860446/000149315223034169/0001493152-23-034169.txt
0001860453,"Masterworks 057, LLC",1-K,0001493152-24-016314,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001860453/000149315224016314/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001860453/000149315224016314/0001493152-24-016314.txt
0001860453,"Masterworks 057, LLC",1-SA,0001493152-23-034170,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001860453/000149315223034170/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001860453/000149315223034170/0001493152-23-034170.txt
0001860454,"Masterworks 058, LLC",1-K,0001493152-24-016315,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001860454/000149315224016315/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001860454/000149315224016315/0001493152-24-016315.txt
0001860454,"Masterworks 058, LLC",1-SA,0001493152-23-034171,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001860454/000149315223034171/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001860454/000149315223034171/0001493152-23-034171.txt
0001860455,"Masterworks 059, LLC",1-K,0001493152-24-016316,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001860455/000149315224016316/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001860455/000149315224016316/0001493152-24-016316.txt
0001860455,"Masterworks 059, LLC",1-SA,0001493152-23-034172,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001860455/000149315223034172/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001860455/000149315223034172/0001493152-23-034172.txt
0001860456,"Masterworks 060, LLC",1-K,0001493152-24-016317,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001860456/000149315224016317/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001860456/000149315224016317/0001493152-24-016317.txt
